CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
5.125,0.25,2.0887,0.0132,-0.0132,Powell et al. 2024,0.14452,4.6E-4,-4.6E-4,Calculated,1.2587,0.0326,-0.0326,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.375,0.25,2.1078,0.012,-0.012,Powell et al. 2024,0.14518,4.1E-4,-4.1E-4,Calculated,1.2645,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.625,0.25,2.1124,0.0138,-0.0138,Powell et al. 2024,0.14534,4.7E-4,-4.8E-4,Calculated,1.2658,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.875,0.25,2.116,0.0149,-0.0149,Powell et al. 2024,0.14546,5.1E-4,-5.1E-4,Calculated,1.2669,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
6.125,0.25,2.094,0.0147,-0.0147,Powell et al. 2024,0.14471,5.1E-4,-5.1E-4,Calculated,1.2603,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
6.375,0.25,2.109,0.0147,-0.0147,Powell et al. 2024,0.14522,5.1E-4,-5.1E-4,Calculated,1.2648,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
6.625,0.25,2.1191,0.0161,-0.0161,Powell et al. 2024,0.14557,5.5E-4,-5.5E-4,Calculated,1.2678,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
6.875,0.25,2.0963,0.0171,-0.0171,Powell et al. 2024,0.14479,5.9E-4,-5.9E-4,Calculated,1.261,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
7.125,0.25,2.1421,0.0183,-0.0183,Powell et al. 2024,0.14636,6.2E-4,-6.3E-4,Calculated,1.2747,0.0332,-0.0332,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
7.375,0.25,2.164,0.0189,-0.0189,Powell et al. 2024,0.14711,6.4E-4,-6.4E-4,Calculated,1.2812,0.0334,-0.0334,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
7.625,0.25,2.1434,0.0204,-0.0204,Powell et al. 2024,0.1464,7.0E-4,-7.0E-4,Calculated,1.2751,0.0333,-0.0333,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
7.875,0.25,2.1441,0.0223,-0.0223,Powell et al. 2024,0.14643,7.6E-4,-7.6E-4,Calculated,1.2753,0.0334,-0.0334,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
8.125,0.25,2.0574,0.0252,-0.0252,Powell et al. 2024,0.14344,8.8E-4,-8.8E-4,Calculated,1.2492,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
8.375,0.25,2.1143,0.0259,-0.0259,Powell et al. 2024,0.14541,8.9E-4,-8.9E-4,Calculated,1.2664,0.0335,-0.0335,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
