CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
0.53146,,2.12656,0.01996,-0.01996,Rustamkulov et al. 2022,0.14583,6.8E-4,-6.9E-4,Calculated,1.2701,0.0332,-0.0332,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.53912,,2.13927,0.01881,-0.01881,Rustamkulov et al. 2022,0.14626,6.4E-4,-6.4E-4,Calculated,1.2739,0.0332,-0.0332,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.54548,,2.12592,0.01552,-0.01552,Rustamkulov et al. 2022,0.14581,5.3E-4,-5.3E-4,Calculated,1.2699,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.55042,,2.1469,0.01929,-0.01929,Rustamkulov et al. 2022,0.14652,6.6E-4,-6.6E-4,Calculated,1.2761,0.0333,-0.0333,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.55376,,2.14036,0.0175,-0.0175,Rustamkulov et al. 2022,0.1463,6.0E-4,-6.0E-4,Calculated,1.2742,0.0332,-0.0332,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.55717,,2.10268,0.01617,-0.01617,Rustamkulov et al. 2022,0.14501,5.6E-4,-5.6E-4,Calculated,1.2629,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.56066,,2.12604,0.01523,-0.01523,Rustamkulov et al. 2022,0.14581,5.2E-4,-5.2E-4,Calculated,1.2699,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.5642,,2.12533,0.01461,-0.01461,Rustamkulov et al. 2022,0.14578,5.0E-4,-5.0E-4,Calculated,1.2697,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.5678,,2.17132,0.01379,-0.01379,Rustamkulov et al. 2022,0.14735,4.7E-4,-4.7E-4,Calculated,1.2834,0.0332,-0.0332,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.57147,,2.13586,0.01297,-0.01297,Rustamkulov et al. 2022,0.14615,4.4E-4,-4.4E-4,Calculated,1.2728,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.57522,,2.13257,0.0123,-0.0123,Rustamkulov et al. 2022,0.14603,4.2E-4,-4.2E-4,Calculated,1.2719,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.57904,,2.11513,0.01163,-0.01163,Rustamkulov et al. 2022,0.14543,4.0E-4,-4.0E-4,Calculated,1.2666,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.58292,,2.14615,0.01128,-0.01128,Rustamkulov et al. 2022,0.1465,3.8E-4,-3.9E-4,Calculated,1.2759,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.58688,,2.14467,0.01098,-0.01098,Rustamkulov et al. 2022,0.14645,3.7E-4,-3.8E-4,Calculated,1.2755,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.59093,,2.19217,0.01076,-0.01076,Rustamkulov et al. 2022,0.14806,3.6E-4,-3.6E-4,Calculated,1.2895,0.0333,-0.0333,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.59506,,2.15242,0.00832,-0.00832,Rustamkulov et al. 2022,0.14671,2.8E-4,-2.8E-4,Calculated,1.2778,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.59926,,2.15746,0.00992,-0.00992,Rustamkulov et al. 2022,0.14688,3.4E-4,-3.4E-4,Calculated,1.2793,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.60355,,2.14019,0.00982,-0.00982,Rustamkulov et al. 2022,0.14629,3.4E-4,-3.4E-4,Calculated,1.2741,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.60792,,2.12355,0.0094,-0.0094,Rustamkulov et al. 2022,0.14572,3.2E-4,-3.2E-4,Calculated,1.2692,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.61239,,2.11343,0.00919,-0.00919,Rustamkulov et al. 2022,0.14538,3.2E-4,-3.2E-4,Calculated,1.2661,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.61696,,2.11313,0.00917,-0.00917,Rustamkulov et al. 2022,0.14537,3.1E-4,-3.2E-4,Calculated,1.2661,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.62162,,2.11546,0.00885,-0.00885,Rustamkulov et al. 2022,0.14545,3.0E-4,-3.0E-4,Calculated,1.2667,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.62639,,2.11992,0.00858,-0.00858,Rustamkulov et al. 2022,0.1456,2.9E-4,-2.9E-4,Calculated,1.2681,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.63125,,2.11963,0.00834,-0.00834,Rustamkulov et al. 2022,0.14559,2.9E-4,-2.9E-4,Calculated,1.268,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.63622,,2.10663,0.00811,-0.00811,Rustamkulov et al. 2022,0.14514,2.8E-4,-2.8E-4,Calculated,1.2641,0.0326,-0.0326,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.6413,,2.08758,0.0079,-0.0079,Rustamkulov et al. 2022,0.14448,2.7E-4,-2.7E-4,Calculated,1.2584,0.0324,-0.0324,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.64649,,2.09688,0.00768,-0.00768,Rustamkulov et al. 2022,0.14481,2.7E-4,-2.7E-4,Calculated,1.2612,0.0325,-0.0325,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.6518,,2.08809,0.00746,-0.00746,Rustamkulov et al. 2022,0.1445,2.6E-4,-2.6E-4,Calculated,1.2585,0.0324,-0.0324,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.65722,,2.10118,0.00726,-0.00726,Rustamkulov et al. 2022,0.14495,2.5E-4,-2.5E-4,Calculated,1.2625,0.0325,-0.0325,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.66278,,2.10523,0.00721,-0.00721,Rustamkulov et al. 2022,0.14509,2.5E-4,-2.5E-4,Calculated,1.2637,0.0325,-0.0325,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.66847,,2.08634,0.00666,-0.00666,Rustamkulov et al. 2022,0.14444,2.3E-4,-2.3E-4,Calculated,1.258,0.0324,-0.0324,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.67429,,2.09834,0.00692,-0.00692,Rustamkulov et al. 2022,0.14486,2.4E-4,-2.4E-4,Calculated,1.2616,0.0325,-0.0325,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.68025,,2.0914,0.00698,-0.00698,Rustamkulov et al. 2022,0.14462,2.4E-4,-2.4E-4,Calculated,1.2595,0.0324,-0.0324,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.68634,,2.10825,0.00604,-0.00604,Rustamkulov et al. 2022,0.1452,2.1E-4,-2.1E-4,Calculated,1.2646,0.0325,-0.0325,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.69258,,2.10344,0.00708,-0.00708,Rustamkulov et al. 2022,0.14503,2.4E-4,-2.4E-4,Calculated,1.2631,0.0325,-0.0325,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
0.69899,,2.09383,0.00683,-0.00683,Rustamkulov et al. 2022,0.1447,2.4E-4,-2.4E-4,Calculated,1.2603,0.0325,-0.0325,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
